year_month,trades,win_rate,total_pips,pnl_usd,balance_end,balance_change,month_return_pct
2022-01,47,57.4,276.5,3229.04,13045.22,3045.2199999999993,32.29
2022-02,70,54.3,419.7,2999.51,15458.02,2412.800000000001,22.99
2022-03,56,66.1,612.0,12114.19,25690.97,10232.95,78.37
2022-07,78,60.3,671.0,8283.92,17431.21,-8259.760000000002,32.24
2022-08,38,57.9,268.2,4206.57,21333.13,3901.920000000002,24.13
2023-01,68,52.9,341.2,2588.99,12206.37,-9126.76,12.14
2023-02,65,50.8,277.9,1516.7,13251.3,1044.9299999999985,12.43
2023-03,58,55.2,339.7,4721.19,16356.03,3104.7300000000014,35.63
2023-07,56,44.6,90.8,1023.09,10772.47,-5583.560000000001,6.26
2023-08,26,61.5,181.5,2174.83,12947.3,2174.83,20.19
2024-01,51,64.7,383.9,6590.39,16590.39,3643.09,50.9
2024-02,3,66.7,33.5,495.53,16841.49,251.10000000000218,2.99
2024-07,42,52.4,98.4,1596.54,11596.54,-5244.950000000001,9.48
2024-08,52,57.7,329.3,3118.9,14223.11,2626.5699999999997,26.9
2024-09,56,48.2,90.9,-275.92,12717.45,-1505.6599999999999,-1.94
2024-10,56,62.5,349.5,3993.43,16305.52,3588.0699999999997,31.4
2024-11,62,54.8,416.0,7749.73,22467.07,6161.549999999999,47.53
2024-12,21,52.4,133.0,2083.71,23286.29,819.2200000000012,9.27
2025-01,5,60.0,23.6,322.74,10322.74,-12963.550000000001,1.39
2025-07,64,51.6,264.2,2670.34,12435.03,2112.290000000001,25.87
2025-08,64,48.4,182.2,1976.93,13368.85,933.8199999999997,15.9
2025-09,49,53.1,196.1,1185.57,14413.8,1044.949999999999,8.87
